ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_6,BILL_AMT6,PAY_5,BILL_AMT5,PAY_4,BILL_AMT4,PAY_3,PAY_2,PAY_0,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,20000,2,2,1,24,-2,0,-2,0,-1,0,-1,2,2,3913,3102,689,0,689,0,0,0,0,1
2,120000,2,2,2,26,2,3261,0,3455,0,3272,0,2,-1,2682,1725,2682,0,1000,1000,1000,0,2000,1
3,90000,2,2,2,34,0,15549,0,14948,0,14331,0,0,0,29239,14027,13559,1518,1500,1000,1000,1000,5000,0
4,50000,2,2,1,37,0,29547,0,28959,0,28314,0,0,0,46990,48233,49291,2000,2019,1200,1100,1069,1000,0
5,50000,1,2,1,57,0,19131,0,19146,0,20940,-1,0,-1,8617,5670,35835,2000,36681,10000,9000,689,679,0
6,50000,1,1,2,37,0,20024,0,19619,0,19394,0,0,0,64400,57069,57608,2500,1815,657,1000,1000,800,0
7,5.00E+05,1,1,2,29,0,473944,0,483003,0,542653,0,0,0,367965,412023,445007,55000,40000,38000,20239,13750,13770,0
8,1.00E+05,2,2,2,23,-1,567,0,-159,0,221,-1,-1,0,11876,380,601,380,601,0,581,1687,1542,0
9,140000,2,3,1,28,0,3719,0,11793,0,12211,2,0,0,11285,14096,12108,3329,0,432,1000,1000,1000,0
10,20000,1,3,2,35,-1,13912,-1,13007,-2,0,-2,-2,-2,0,0,0,0,0,0,13007,1122,0,0
11,2.00E+05,2,3,2,34,-1,3731,0,1828,0,2513,2,0,0,11073,9787,5535,2306,12,50,300,3738,66,0
12,260000,2,1,2,51,2,13668,-1,22287,-1,8517,-1,-1,-1,12261,21670,9966,21818,9966,8583,22301,0,3640,0
13,630000,2,2,2,41,-1,2870,-1,6500,-1,6500,-1,0,-1,12137,6500,6500,1000,6500,6500,6500,2870,0,0
14,70000,1,2,2,30,2,36894,0,36137,0,66782,2,2,1,65802,67369,65701,3200,0,3000,3000,1500,0,1
15,250000,1,1,2,29,0,55512,0,56875,0,59696,0,0,0,70887,67060,63561,3000,3000,3000,3000,3000,3000,0
16,50000,2,3,3,23,0,30211,0,29531,0,28771,0,2,1,50614,29173,28116,0,1500,1100,1200,1300,1100,0
